exp,QSP/init_value/Parameter/k_C1_growth,QSP/init_value/Parameter/k_C1_death,QSP/init_value/Parameter/initial_tumour_diameter,QSP/init_value/Parameter/k_Treg,QSP/init_value/Parameter/n_T1_clones,QSP/init_value/Parameter/n_T2_clones,QSP/init_value/Parameter/n_T3_clones,QSP/init_value/Parameter/n_T4_clones,QSP/init_value/Parameter/n_T5_clones,QSP/init_value/Parameter/n_T6_clones,QSP/init_value/Parameter/n_T7_clones,QSP/init_value/Parameter/n_T8_clones,QSP/init_value/Parameter/n_T9_clones,QSP/init_value/Parameter/n_T10_clones,QSP/init_value/Parameter/n_T11_clones,QSP/init_value/Parameter/n_T12_clones,QSP/init_value/Parameter/n_T13_clones,QSP/init_value/Parameter/n_T14_clones,QSP/init_value/Parameter/n_T15_clones,QSP/init_value/Parameter/n_T16_clones,QSP/init_value/Parameter/n_T17_clones,QSP/init_value/Parameter/k_P1_d1,QSP/init_value/Parameter/k_P2_d1,QSP/init_value/Parameter/k_P3_d1,QSP/init_value/Parameter/k_P4_d1,QSP/init_value/Parameter/k_P5_d1,QSP/init_value/Parameter/k_P6_d1,QSP/init_value/Parameter/k_P7_d1,QSP/init_value/Parameter/k_P8_d1,QSP/init_value/Parameter/k_P9_d1,QSP/init_value/Parameter/k_P10_d1,QSP/init_value/Parameter/k_P11_d1,QSP/init_value/Parameter/k_P12_d1,QSP/init_value/Parameter/k_P13_d1,QSP/init_value/Parameter/k_P14_d1,QSP/init_value/Parameter/k_P15_d1,QSP/init_value/Parameter/k_P16_d1,QSP/init_value/Parameter/k_P17_d1,QSP/init_value/Parameter/C1_PDL1_total,QSP/init_value/Parameter/C1_PDL2_total,QSP/init_value/Parameter/Treg_CTLA4_50,QSP/init_value/Parameter/k_CTLA4_ADCC,QSP/init_value/Parameter/IC50_ENT_C,QSP/init_value/Parameter/k_sec_CCL2,QSP/init_value/Parameter/k_sec_NO,QSP/init_value/Parameter/k_sec_ArgI,QSP/init_value/Parameter/IC50_ENT_NO,QSP/init_value/Parameter/ki_Treg,QSP/init_value/Parameter/IC50_ArgI_CTL,QSP/init_value/Parameter/IC50_NO_CTL,QSP/init_value/Parameter/k_a1_ENT,QSP/init_value/Parameter/k_a2_ENT,QSP/init_value/Parameter/k_cln_ENT,QSP/init_value/Parameter/q_T_ENT,QSP/init_value/Parameter/k_cl_ENT
1,0.0362731,0.000426922,0.597552,0.444285,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,20.4036,1.19367e-08,4.18229e-07,3.31411e-07,1.36045e-08,2.44972e-08,2.2616e-07,3.27132e-07,1.81612e-09,4.72567e-09,3.14413e-08,1.79873e-09,4.25988e-09,1.61773e-09,1.45266e-08,4.10805e-07,2.1304e-07,4.17615e-09,177359,1855.72,467.079,0.659749,1.91405e-07,1.55317e-10,4.62997e-07,0.0130267,3.01532e-10,2.57265,48.9697,7.23973e-09,2.06947,5.81564,9.72328e-05,3376.83,1.03515
2,0.0122334,4.28548e-05,0.695476,0.224351,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,41.0378,3.27313e-08,1.93452e-08,5.7335e-09,6.09021e-09,6.04258e-09,1.40957e-09,5.34611e-09,4.40642e-09,3.51007e-08,2.45454e-08,1.75363e-07,3.82311e-08,2.67827e-07,1.7979e-07,5.84806e-08,2.61068e-09,4.02508e-07,104211,26321.7,129.49,0.122817,8.94006e-09,1.69085e-10,4.66435e-07,0.0140081,5.47666e-10,0.66617,101.765,2.71702e-09,2.2261,3.65688,6.15217e-05,3343.52,0.392952
3,0.0206759,1.40329e-05,0.65268,0.457032,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,13.302,3.93267e-07,5.27244e-09,2.90358e-07,1.41272e-09,2.03946e-07,5.89218e-08,1.16297e-07,9.04705e-08,3.80871e-07,3.48851e-09,9.12422e-09,1.40465e-07,2.06908e-09,6.81456e-08,7.30035e-08,1.56665e-07,1.42927e-07,334913,3528.24,602.575,0.490667,7.52711e-09,1.14544e-10,5.59572e-07,0.012352,3.73996e-09,1.9577,530.649,7.16564e-10,2.15985,6.21257,6.76315e-05,3287.01,0.539267
4,0.0176176,0.000662087,0.793792,0.527064,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,10.9589,1.63567e-08,3.81621e-07,3.60567e-07,7.52647e-09,1.25339e-07,4.21302e-08,4.86033e-07,2.1643e-07,2.49058e-08,2.08705e-07,1.26953e-07,1.76913e-09,8.39057e-09,4.84634e-09,4.66532e-08,2.59503e-08,2.29273e-08,493049,1298.18,473.185,0.1164,1.48494e-07,1.42137e-10,4.06174e-07,0.012219,1.55068e-09,0.417164,403.275,8.44301e-10,2.20546,7.0232,7.82458e-05,3334.44,0.561995
5,0.0183958,0.00061807,0.51129,0.170474,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,18.6571,5.77117e-09,1.25442e-08,4.89172e-07,1.58244e-09,1.89909e-08,1.05674e-07,1.92431e-08,9.52326e-09,4.21345e-08,1.07248e-08,6.54104e-09,2.52174e-07,3.29575e-08,1.75964e-09,4.4154e-09,2.33876e-07,5.8506e-09,1.30433e+06,2929.35,193.362,0.799373,6.70415e-09,1.02215e-10,4.86943e-07,0.0156899,2.21817e-09,0.622501,343.125,8.1179e-11,2.12179,6.61991,6.63521e-05,3313.38,0.695449
6,0.0179381,1.41364e-05,0.818849,0.486714,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,25.1223,6.98976e-08,1.52333e-08,4.49699e-09,9.81146e-08,8.00699e-09,5.10811e-08,2.58416e-09,1.96808e-08,8.36869e-09,2.23223e-07,3.70057e-09,2.85534e-08,7.64916e-09,4.27783e-07,5.62245e-08,3.80268e-09,6.81956e-09,958799,31922.6,106.709,0.110427,5.26105e-08,1.15386e-10,3.96126e-07,0.014895,3.85519e-10,1.83013,10.6529,2.17981e-09,2.11486,5.04886,9.89891e-05,3253.26,0.174957
7,0.0228,4.74559e-05,0.88994,0.685646,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,8.56689,2.10678e-09,1.20334e-07,1.84353e-07,2.44932e-08,6.87274e-08,3.88468e-07,1.51042e-07,1.42504e-07,4.113e-07,3.26126e-07,3.83678e-08,5.38827e-09,1.09659e-07,2.31805e-09,2.13287e-07,2.04989e-08,5.55101e-08,323008,19846.8,765.471,0.200231,1.18647e-08,1.78642e-10,5.43859e-07,0.0136839,1.01106e-09,1.04084,55.4872,4.49305e-10,1.92909,6.01479,8.56082e-05,3375.72,0.855995
8,0.0191433,1.90216e-05,0.645535,0.320876,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,11.9499,4.09652e-08,1.07898e-08,1.63134e-09,9.856e-09,2.90425e-07,3.67039e-09,7.96956e-09,8.33651e-08,9.3255e-08,1.27554e-08,2.06608e-08,1.49117e-08,6.80234e-09,3.69356e-07,1.60839e-07,4.13426e-08,1.17079e-08,43071.4,8660.97,705.783,0.902343,3.73966e-07,9.21107e-11,4.58279e-07,0.012886,2.80363e-09,0.313794,76.9262,2.99042e-10,2.13955,3.25041,8.28806e-05,3366.28,0.420266
9,0.0399492,2.04169e-05,0.820354,0.290627,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,8.06705,1.41763e-07,8.8454e-08,9.14498e-09,1.21409e-08,1.14131e-08,2.57685e-08,2.87738e-08,2.5306e-07,3.95287e-09,1.35389e-08,1.05015e-08,3.48192e-08,2.56997e-08,5.74216e-08,3.00426e-09,1.12094e-07,9.94212e-08,210906,11522,280.708,0.333008,2.30553e-07,1.30532e-10,4.89025e-07,0.0141735,2.41225e-10,0.71272,11.0919,1.43105e-10,2.23205,4.86189,0.000109682,3389.27,0.338666
10,0.0213276,0.000173682,0.872161,0.154662,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,32.041,2.0386e-07,2.55891e-08,1.05357e-07,2.6453e-09,5.12513e-09,1.30136e-08,6.24802e-08,3.0956e-09,1.85902e-08,5.50473e-09,3.42387e-07,4.24083e-07,4.53663e-08,2.07635e-07,1.64157e-08,6.73497e-08,2.28571e-09,377213,14803.6,521.66,0.559026,4.6352e-09,1.34419e-10,5.48729e-07,0.012978,2.16804e-10,2.12727,288.964,1.11493e-10,2.09038,2.76581,0.00010311,3351.83,0.161256
